,WhatsApp Me,,,,,,,Email Me,,,,,,,,,,,
,,CURRENT WEEK ,JUMP TO:,,,,,,,,,,,,,,,,WORKOUTS IN JANUARY
,,5,WEEK 1,,WEEK 2,,WEEK 3,,,WEEK 4,,,,WEEK 5,,,,,
,,Exercise,,Sets,Reps,Tempo,Rest,Weight (Lbs),,,,,,,,,,PR,Notes
,WEEK 1,,,,,,,,,,,,,,,,,,
,Session 1,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Saturday, January 18 "
,A,Db bench press ,,4,10,,,55,60,60,60,,,,,,,,
,A,Tricep Dips,,4,10,,,,,,,,,,,,,,Body weight
,B,Flat DB Chest Flies,,4,10,,,35,35,35,35,,,,,,,,
,B,Standing overhead single DB tricep behind head thingy,,4,10,,,35,35,35,35,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 2,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Sunday, January 19 "
,A,DB Curls,,4,10,,,35,35,35,35,,,,,,,,
,C,Hammer Curls,,4,10,,,25,25,25,25,,,,,,,,
,B,Incline Dumbbell Row,,4,10,,,50,50,50,50,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 3,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Monday, January 20 "
,A,Squats,,,,,,85,95,95,95,,,,,,,,rested muscles otherwise
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 4,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Friday, January 24 "
,A,Db bench press ,,4,10,,,55,60,60,60,,,,,,,,
,A,Tricep Dips,,4,10,,,,,,,,,,,,,,Body weight
,B,Flat DB Chest Flies,,4,10,,,35,35,35,35,,,,,,,,
,B,Standing overhead single DB tricep behind head thingy,,4,10,,,35,35,35,35,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 5,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Saturday, January 25 "
,A,DB Curls,,4,10,,,35,35,35,35,,,,,,,,should seek return to 40 next time
,C,Hammer Curls,,4,10,,,30,30,30,30,,,,,,,,
,B,Incline Dumbbell Row,,4,10,,,50,50,50,50,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 6,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Sunday, January 26 "
,A,Squats,,4,10,,,95,95,95,95,,,,,,,,45 lb bar (double check) + 2x25 plates
,B,Pullups,,5,10,,,,,,,,,,,,,,Body weight
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,WEEK 2,,,,,,,,,,,,,,,,,,
,Session 1,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Monday, January 27 "
,A,Lateral Raises,,4,10,,,15,15,18,20,,,,,,,,Was fine w 20 by the end
,B,Overhead DB shoulder press,,4,10,,,40,40,40,40,,,,,,,,May be able to go up to 45 next time; one 40 rep was shaky stability wise but otherwise 40 reps were easy-ish
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 2,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Tuesday, January 28 "
,A,Db bench press ,,4,10,,,55,60,60,60,,,,,,,,
,A,Tricep Dips,,4,10,,,,,,,,,,,,,,Body weight
,B,Flat DB Chest Flies,,4,10,,,35,35,40,40,,,,,,,,40 seemed ok
,B,Standing overhead single DB tricep behind head thingy,,4,10,,,35,35,40,40,,,,,,,,"40 seemed ok, tho left elbow twinge"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 3,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Wednesday, January 29 "
,A,Incline Dumbbell Row,,4,10,,,50,50,50,50,,,,,,,,
,A,DB Curls,,4,10,,,35,35,35,35,,,,,,,,should seek return to 40 next time
,B,Back Machine pull down thing,,4,10,,,85,85,100,115,,,,,,,,"was testing out, start at 115 next time and can go higher"
,B,Hammer Curls,,4,10,,,30,30,30,30,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 4,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Thursday, January 30 "
,A,Squats,,4,10,,,95,95,95,95,,,,,,,,45 lb bar (double check) + 2x25 plates
,B,Pullups,,5,10,,,,,,,,,,,,,,Body weight
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 5,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Friday, January 31 "
,A,Lateral Raises,,,,,,18,18,18,18,,,,,,,,
,B,Overhead DB shoulder press,,,,,,40,40,40,40,,,,,,,,
,,---Session 5b on ensuing Saturday Feb 1---,,,,,,,,,,,,,,,,,
,A,Db bench press ,,4,10,,,55,55,60,60,,,,,,,,
,A,Tricep Dips,,4,10,,,,,,,,,,,,,,
,B,Flat DB Chest Flies,,4,10,,,35,35,40,40,,,,,,,,
,B,Standing overhead single DB tricep behind head thingy,,4,10,,,35,35,40,40,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 6,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Monday, February 3 "
,A,Back Machine pull down thing,,4,10,,,100,115,130,130,,,,,,,,
,A,DB Curls,,4,10,,,35,35,35,35,,,,,,,,
,B,Incline Dumbbell Row,,4,10,,,50,,,,,,,,,,,"tiny twinge on right arm, aborted halfway thru"
,B,Hammer Curls,,4,10,,,30,30,30,30,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,WEEK 3,,,,,,,,,,,,,,,,,,
,Session 1,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Tuesday, February 4 "
,B,Lateral Raises,,,,,,18,,,,,,,,,,,"feeling meh, abort out of caution"
,A,Overhead DB shoulder press,,,,,,40,40,40,40,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 2,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Wednesday, February 5 "
,A,Squats,,4,10,,,95,95,95,95,,,,,,,,45 lb bar (double check) + 2x25 plates
,B,Pullups,,5,10,,,,,,,,,,,,,,Body weight
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 3,,,,,,,,,,,,,,,,,,
,,TRUE,,☑️ Workout Completed,,,,1,2,3,4,5,6,7,8,9,10,," Thursday, February 6 "
,A,Db bench press ,,4,10,,,55,55,60,60,,,,,,,,
,A,Tricep Dips,,4,10,,,,,,,,,,,,,,
,B,Flat DB Chest Flies,,4,10,,,35,35,40,40,,,,,,,,
,B,Standing overhead single DB tricep behind head thingy,,4,10,,,35,35,40,40,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Session 4,,,,,,,,,,,,,,,,,,
